model,variant,ece,brier_score
adaboost,original,0.145306748151354,0.15809989270640895
adaboost,platt,0.029610920621879505,0.13545792050863137
adaboost,isotonic,0.030560508942701438,0.1400432906111876
bagging,original,0.023929654470985356,0.13711884279629455
bagging,platt,0.04097626314703985,0.13871555347033704
bagging,isotonic,0.03378179516886107,0.13856557280673568
extra_trees,original,0.05099778609980457,0.15189397548833095
extra_trees,platt,0.05629413241150763,0.15082689590598342
extra_trees,isotonic,0.026705830092810547,0.1481263172386656
gradientboosting,original,0.021286775298876372,0.12923025294881405
gradientboosting,platt,0.023909252381207422,0.12983319891962175
gradientboosting,isotonic,0.04816243041932897,0.13207789071864567
lightgbm_model,original,0.07059023401761103,0.14826261989897208
lightgbm_model,platt,0.06117566191400612,0.1400484939805317
lightgbm_model,isotonic,0.027807392861493863,0.13834655961649517
randomforest,original,0.12409171750921114,0.14679388404069435
randomforest,platt,0.037758601672121486,0.1280882277629216
randomforest,isotonic,0.04416539397786088,0.13095462691873325
stacking,original,0.1510451623626008,0.15341462209126663
stacking,platt,0.03257728769584305,0.12802867928090572
stacking,isotonic,0.03439187341360678,0.13142669778337968
voting_hard,original,0.08270955902874964,0.13813850055551216
voting_hard,platt,0.03851815313257734,0.1308089867965104
voting_hard,isotonic,0.0322298054853808,0.13213940126899082
voting_soft,original,0.06673877113468864,0.13722749583319482
voting_soft,platt,0.04407166000602865,0.13284358637427135
voting_soft,isotonic,0.03898815250585612,0.1339259339730447
xgboost,original,0.09444944769197089,0.15203327787540533
xgboost,platt,0.04459181152204601,0.1380795293790054
xgboost,isotonic,0.028814487855258357,0.1386849256318919
