model_a,model_b,q_statistic,disagreement,double_fault
adaboost,bagging,0.8239647929585917,0.19230769230769232,0.13817663817663817
adaboost,extra_trees,0.7964774951076321,0.20512820512820512,0.14102564102564102
adaboost,gradientboosting,0.8869778869778869,0.1623931623931624,0.15384615384615385
adaboost,lightgbm_model,0.8894472361809045,0.1623931623931624,0.16809116809116809
adaboost,randomforest,0.9745222929936306,0.0868945868945869,0.20655270655270655
adaboost,stacking,0.967473493008913,0.09686609686609686,0.2022792022792023
adaboost,voting_hard,0.9641137855579869,0.10113960113960115,0.19373219373219372
adaboost,voting_soft,0.9466625982149668,0.11965811965811966,0.1866096866096866
adaboost,xgboost,0.9454515808665491,0.1225071225071225,0.19515669515669515
bagging,extra_trees,0.9753329162570381,0.08404558404558404,0.18376068376068377
bagging,gradientboosting,0.9770929915462231,0.07834757834757834,0.17806267806267806
bagging,lightgbm_model,0.9103509081290778,0.1467236467236467,0.1581196581196581
bagging,randomforest,0.8241545893719807,0.1908831908831909,0.13675213675213677
bagging,stacking,0.7843888070692194,0.20655270655270655,0.12962962962962962
bagging,voting_hard,0.9083465019393765,0.1452991452991453,0.15384615384615385
bagging,voting_soft,0.924697445091887,0.13532763532763534,0.16096866096866097
bagging,xgboost,0.8438945420906568,0.1866096866096866,0.1452991452991453
extra_trees,gradientboosting,0.9677552707730467,0.09401709401709402,0.1794871794871795
extra_trees,lightgbm_model,0.8905666333456095,0.15954415954415954,0.16096866096866097
extra_trees,randomforest,0.8186898478733312,0.19515669515669515,0.14387464387464388
extra_trees,stacking,0.7634063560629435,0.21652421652421652,0.1339031339031339
extra_trees,voting_hard,0.8899803536345776,0.1581196581196581,0.15669515669515668
extra_trees,voting_soft,0.9072881792428534,0.14814814814814814,0.16381766381766383
extra_trees,xgboost,0.835935609937657,0.1908831908831909,0.15242165242165243
gradientboosting,lightgbm_model,0.9208748130190334,0.1396011396011396,0.1623931623931624
gradientboosting,randomforest,0.8654895422855411,0.17236467236467237,0.1467236467236467
gradientboosting,stacking,0.8322473312075419,0.18803418803418803,0.1396011396011396
gradientboosting,voting_hard,0.934535873530604,0.1267806267806268,0.16381766381766383
gradientboosting,voting_soft,0.9475144846389795,0.1168091168091168,0.17094017094017094
gradientboosting,xgboost,0.8816666969526267,0.16809116809116809,0.15527065527065528
lightgbm_model,randomforest,0.9478229251886192,0.11823361823361823,0.18803418803418803
lightgbm_model,stacking,0.9465068649017674,0.11965811965811966,0.18803418803418803
lightgbm_model,voting_hard,0.9841611895269906,0.0698005698005698,0.20655270655270655
lightgbm_model,voting_soft,0.9874215484597948,0.06267806267806268,0.21225071225071226
lightgbm_model,xgboost,0.9798028180257853,0.07977207977207977,0.21367521367521367
randomforest,stacking,0.9978962131837307,0.027065527065527065,0.23504273504273504
randomforest,voting_hard,0.987675778164007,0.06267806267806268,0.21082621082621084
randomforest,voting_soft,0.9760019998333472,0.08404558404558404,0.2022792022792023
randomforest,xgboost,0.9734774066797642,0.08974358974358974,0.2094017094017094
stacking,voting_hard,0.9858525688756515,0.06695156695156695,0.2094017094017094
stacking,voting_soft,0.9752124744404724,0.08547008547008547,0.2022792022792023
stacking,xgboost,0.977977977977978,0.08262108262108261,0.21367521367521367
voting_hard,voting_soft,0.9983274395488866,0.024216524216524215,0.2264957264957265
voting_hard,xgboost,0.9911253920893581,0.0584045584045584,0.21937321937321938
voting_soft,xgboost,0.9911460895228726,0.05698005698005698,0.2222222222222222
