model,variant,ece,brier_score
adaboost,original,0.16716008131379032,0.16590372839378392
adaboost,platt,0.024032211408245328,0.13500272867813032
adaboost,isotonic,0.029937481454552772,0.13712421625473853
bagging,original,0.07041637094866336,0.14499844649475593
bagging,platt,0.04286490679762226,0.14059975836527538
bagging,isotonic,0.03497452505822659,0.1420292110957636
extra_trees,original,0.030321576670397653,0.14550586691785652
extra_trees,platt,0.04059001855923654,0.14579594139255916
extra_trees,isotonic,0.03505723602423385,0.14564471547606986
gradientboosting,original,0.028122569343806577,0.13249783921060798
gradientboosting,platt,0.031755311827179625,0.13269962495766377
gradientboosting,isotonic,0.030333291836461176,0.13626798453397804
lightgbm_model,original,0.09801327317104297,0.15884389158711654
lightgbm_model,platt,0.029221602325796372,0.14401424077092145
lightgbm_model,isotonic,0.03499333806405366,0.14623256648805064
randomforest,original,0.22488724425803763,0.23063185629433594
randomforest,platt,0.06577602169831918,0.1488013240675501
randomforest,isotonic,0.048883944671200344,0.1454187431091047
stacking,original,0.1531040376665214,0.16293165523290165
stacking,platt,0.025578171649068008,0.13660971136973715
stacking,isotonic,0.029419209804547465,0.13991187678754458
voting_hard,original,0.0994232835635374,0.1463812626405191
voting_hard,platt,0.021917607526919333,0.13646152657838623
voting_hard,isotonic,0.023047192309590306,0.13864881889135783
voting_soft,original,0.09357551047199937,0.147801812663505
voting_soft,platt,0.02965698907698383,0.13929528786422835
voting_soft,isotonic,0.037645327007560396,0.14148793934774714
xgboost,original,0.048553270102076024,0.14322745231073053
xgboost,platt,0.03950086644222078,0.14298719849082656
xgboost,isotonic,0.041199203288464194,0.14338615762139909
