model_a,model_b,q_statistic,disagreement,double_fault
adaboost,bagging,0.9558116573056441,0.10511363636363637,0.16761363636363635
adaboost,extra_trees,0.9673564558437773,0.09375,0.17755681818181818
adaboost,gradientboosting,0.9867986798679867,0.061079545454545456,0.18323863636363635
adaboost,lightgbm_model,0.9026218565385782,0.15056818181818182,0.15482954545454544
adaboost,randomforest,0.6686608375517717,0.28267045454545453,0.13920454545454544
adaboost,stacking,0.8677264547090582,0.171875,0.14772727272727273
adaboost,voting_hard,0.9356607811663992,0.12642045454545456,0.16477272727272727
adaboost,voting_soft,0.944213649851632,0.11789772727272728,0.16619318181818182
adaboost,xgboost,0.9469173348078518,0.11647727272727272,0.1690340909090909
bagging,extra_trees,0.9599558176076168,0.10227272727272728,0.17613636363636365
bagging,gradientboosting,0.9898756960458969,0.05539772727272727,0.18892045454545456
bagging,lightgbm_model,0.9418764228167331,0.12215909090909091,0.171875
bagging,randomforest,0.5902900107411385,0.3025568181818182,0.13210227272727273
bagging,stacking,0.8736171148069456,0.1690340909090909,0.15198863636363635
bagging,voting_hard,0.9423900350330868,0.12073863636363637,0.17045454545454544
bagging,voting_soft,0.9639269965703087,0.09801136363636363,0.17897727272727273
bagging,xgboost,0.9899327507751782,0.056818181818181816,0.20170454545454544
extra_trees,gradientboosting,0.9641864578069732,0.09801136363636363,0.171875
extra_trees,lightgbm_model,0.9164522476161647,0.14204545454545456,0.16619318181818182
extra_trees,randomforest,0.612149339079269,0.296875,0.13920454545454544
extra_trees,stacking,0.8578575632725133,0.17755681818181818,0.15198863636363635
extra_trees,voting_hard,0.9360627064844206,0.12642045454545456,0.171875
extra_trees,voting_soft,0.948051948051948,0.11505681818181818,0.1747159090909091
extra_trees,xgboost,0.947121978905548,0.11647727272727272,0.17613636363636365
gradientboosting,lightgbm_model,0.9183342728297632,0.140625,0.15625
gradientboosting,randomforest,0.5857988165680473,0.3039772727272727,0.125
gradientboosting,stacking,0.852599914052428,0.17897727272727273,0.140625
gradientboosting,voting_hard,0.9305019305019305,0.13068181818181818,0.1590909090909091
gradientboosting,voting_soft,0.9491929081767664,0.11363636363636363,0.16477272727272727
gradientboosting,xgboost,0.9804508629799225,0.078125,0.1846590909090909
lightgbm_model,randomforest,0.8389166072701354,0.22017045454545456,0.18323863636363635
lightgbm_model,stacking,0.9615674453654861,0.10369318181818182,0.19460227272727273
lightgbm_model,voting_hard,0.9866962305986696,0.06392045454545454,0.20880681818181818
lightgbm_model,voting_soft,0.9933993399339934,0.046875,0.21448863636363635
lightgbm_model,xgboost,0.9512306916624651,0.11363636363636363,0.18323863636363635
randomforest,stacking,0.9578030810448761,0.14488636363636365,0.22443181818181818
randomforest,voting_hard,0.9102112676056338,0.1846590909090909,0.19886363636363635
randomforest,voting_soft,0.8475584451514733,0.21875,0.17897727272727273
randomforest,xgboost,0.5898452012383901,0.3025568181818182,0.13920454545454544
stacking,voting_hard,0.9890444152295518,0.05965909090909091,0.21448863636363635
stacking,voting_soft,0.9758064516129032,0.08522727272727272,0.19886363636363635
stacking,xgboost,0.8753894080996885,0.1690340909090909,0.1590909090909091
voting_hard,voting_soft,0.995190380761523,0.03977272727272727,0.2159090909090909
voting_hard,xgboost,0.9462647444298821,0.11789772727272728,0.17897727272727273
voting_soft,xgboost,0.9691596441947565,0.09232954545454546,0.18892045454545456
